COLUMN 1 - Plot 0	COLUMN 4 - Plot 0
-6.8	2.04E-11
-6.6	2.28E-11
-6.4	2.36E-11
-6.2	2.54E-11
-6	2.74E-11
-5.8	2.84E-11
-5.6	3.02E-11
-5.4	3.21E-11
-5.2	3.31E-11
-5	3.45E-11
-4.8	3.63E-11
-4.6	3.71E-11
-4.4	3.80E-11
-4.2	3.99E-11
-4	4.07E-11
-3.8	4.16E-11
-3.6	4.32E-11
-3.4	4.40E-11
-3.2	4.51E-11
-3	4.65E-11
-2.8	4.71E-11
-2.6	4.83E-11
-2.4	4.91E-11
-2.2	4.97E-11
-2	5.13E-11
-1.8	5.17E-11
-1.6	5.24E-11
-1.4	5.35E-11
-1.2	5.42E-11
-1	5.48E-11
-0.8	5.61E-11
-0.6	5.63E-11
-0.4	5.72E-11
-0.2	5.80E-11
0	5.92E-11
0.2	5.97E-11
0.4	6.01E-11
0.6	6.05E-11
0.8	6.18E-11
1	6.22E-11
1.2	6.28E-11
1.4	6.37E-11
1.6	6.41E-11
1.8	6.47E-11
2	6.57E-11
2.2	6.60E-11
2.4	6.65E-11
2.6	6.78E-11
2.8	6.80E-11
3	6.85E-11
3.2	6.92E-11
3.4	6.97E-11
3.6	7.04E-11
3.8	7.10E-11
4	7.13E-11
4.2	7.23E-11
4.4	7.27E-11
4.6	7.30E-11
4.8	6.00E-11
5	5.36E-11
5.2	5.20E-11
5.4	5.01E-11
5.6	4.91E-11
5.8	4.81E-11
6	4.76E-11
6.2	4.70E-11
6.4	4.68E-11
6.6	4.63E-11
6.8	4.63E-11
7	4.62E-11
7.2	4.60E-11
7.4	4.58E-11
7.6	4.64E-11
7.8	4.59E-11
8	4.61E-11
8.2	4.61E-11
8.4	4.65E-11
8.6	4.60E-11
8.8	4.66E-11
9	4.60E-11
9.2	4.66E-11
9.4	4.68E-11
9.6	4.73E-11
9.8	4.36E-11
10	4.60E-11
10.2	4.62E-11
10.4	4.73E-11
10.6	4.73E-11
10.8	4.80E-11
11	4.78E-11
11.2	4.85E-11
11.4	4.82E-11
